"longitude","latitude","height"
"12.80016","55.7753","734.41"
"12.80954","55.77102","703.92"
"12.81495","55.7673","673.43"
"12.82013","55.76074","642.94"
"12.81747","55.7384","612.43"
"12.8148","55.73186","597.19"
"12.81186","55.72503","597.18"
"12.80388","55.71316","597.17"
"12.78018","55.69752","581.93"
"12.77219","55.69258","536.21"
"12.7571","55.68304","475.24"
"12.75097","55.67903","429.52"
"12.727","55.66365","307.61"
"12.6853","55.63683","86.64"
"12.64044","55.60784","40.93"
"12.63927","55.60707","40.93"
"12.63853","55.60685","40.93"
"12.63777","55.60692","40.93"
"12.63715","55.60722","40.93"
"12.63595","55.6083","40.94"
"12.6364","55.60869","40.94"
"12.63698","55.60918","40.94"
"12.63788","55.60994","40.94"
"12.63842","55.61042","40.94"
"12.63904","55.61097","40.93"
"12.64046","55.6122","40.93"
"12.64114","55.61282","40.93"
"12.64187","55.61343","40.93"
"12.64267","55.61413","40.93"
"12.64345","55.61482","40.93"
"12.64487","55.61603","40.93"
"12.64535","55.61645","40.93"
"12.64568","55.61689","40.93"
"12.64554","55.61756","40.93"
"12.64539","55.61799","40.93"
"12.6452","55.61862","40.93"
"12.64503","55.61921","40.94"
"12.64507","55.61959","40.94"
"12.64531","55.61997","40.94"
"12.6457","55.62033","40.94"
"12.64616","55.62074","40.94"
"12.64662","55.62112","40.94"
"12.64732","55.62171","40.93"
"12.64784","55.62218","40.93"
"12.64791","55.62269","40.94"
"12.64786","55.62305","40.94"
"12.64782","55.62333","40.94"
"12.6478","55.62367","40.94"
"12.64776","55.62396","40.94"
"12.64774","55.62442","40.94"
"12.64774","55.62472","40.94"
"12.64788","55.62494","40.94"
"12.6483","55.62496","40.94"
"12.64852","55.62494","40.94"
"12.64878","55.62493","40.94"
"12.64904","55.62492","40.94"
"12.64928","55.62491","40.94"
"12.64936","55.6249","40.94"
"12.64949","55.62442","40.94"
"12.64936","55.6247","40.94"
